Core#  istart#  iend#  jstart#  jend#
     0      1     94      1     94
     1      1     94     95    188
     2      1     94    189    282
     3      1     94    283    376
     4      1     94    377    470
     5      1     94    471    564
     6      1     94    565    658
     7      1     94    659    752
     8      1     94    753    846
     9      1     94    847    940
    10      1     94    941   1034
    11      1     94   1035   1128
    12      1     94   1129   1222
    13      1     94   1223   1316
    14      1     94   1317   1410
    15      1     94   1411   1504
    16      1     94   1505   1597
    17      1     94   1598   1690
    18      1     94   1691   1783
    19      1     94   1784   1876
    20     95    188      1     94
    21     95    188     95    188
    22     95    188    189    282
    23     95    188    283    376
    24     95    188    377    470
    25     95    188    471    564
    26     95    188    565    658
    27     95    188    659    752
    28     95    188    753    846
    29     95    188    847    940
    30     95    188    941   1034
    31     95    188   1035   1128
    32     95    188   1129   1222
    33     95    188   1223   1316
    34     95    188   1317   1410
    35     95    188   1411   1504
    36     95    188   1505   1597
    37     95    188   1598   1690
    38     95    188   1691   1783
    39     95    188   1784   1876
    40    189    282      1     94
    41    189    282     95    188
    42    189    282    189    282
    43    189    282    283    376
    44    189    282    377    470
    45    189    282    471    564
    46    189    282    565    658
    47    189    282    659    752
    48    189    282    753    846
    49    189    282    847    940
    50    189    282    941   1034
    51    189    282   1035   1128
    52    189    282   1129   1222
    53    189    282   1223   1316
    54    189    282   1317   1410
    55    189    282   1411   1504
    56    189    282   1505   1597
    57    189    282   1598   1690
    58    189    282   1691   1783
    59    189    282   1784   1876
    60    283    375      1     94
    61    283    375     95    188
    62    283    375    189    282
    63    283    375    283    376
    64    283    375    377    470
    65    283    375    471    564
    66    283    375    565    658
    67    283    375    659    752
    68    283    375    753    846
    69    283    375    847    940
    70    283    375    941   1034
    71    283    375   1035   1128
    72    283    375   1129   1222
    73    283    375   1223   1316
    74    283    375   1317   1410
    75    283    375   1411   1504
    76    283    375   1505   1597
    77    283    375   1598   1690
    78    283    375   1691   1783
    79    283    375   1784   1876
    80    376    468      1     94
    81    376    468     95    188
    82    376    468    189    282
    83    376    468    283    376
    84    376    468    377    470
    85    376    468    471    564
    86    376    468    565    658
    87    376    468    659    752
    88    376    468    753    846
    89    376    468    847    940
    90    376    468    941   1034
    91    376    468   1035   1128
    92    376    468   1129   1222
    93    376    468   1223   1316
